plant_id,name,utility_name,city,state,county,zipcode,lat,lng,sector,source
64413,Schull CSG,Schull CSG LLC,Mapleton,MN,Blue Earth,56065,43.91635,-93.930384,IPP Non-CHP,eia_860_2024
64414,Pontiac,"Pontiac Solar, LLC",Pontiac,IL,Livingston,61764,40.91806,-88.625,IPP Non-CHP,eia_860_2024
64415,Rockford CSG,Rockford Baxter Rd Holdco LLC CSG,Rockford,IL,Winnebago,61109,42.16572,-89.03686,IPP Non-CHP,eia_860_2024
64416,Sandoval,"Sandoval Holdco, LLC",Centralia,IL,Clinton,62801,38.589905,-89.149348,IPP Non-CHP,eia_860_2024
64417,Wilbraham,"BWC East Brook, LLC",Wilbraham,MA,Hampden,1095,42.10391,-72.38129,IPP Non-CHP,eia_860_2024
64418,Big Bear,"Altus Power America Management, LLC",Los Angeles,CA,Los Angeles,90023,34.015287,-118.192851,IPP Non-CHP,eia_860_2024
64419,Elm Street,"ISM Solar Dighton 3, LLC",Dighton,MA,Bristol,2715,41.791718,-71.141817,IPP Non-CHP,eia_860_2024
64420,Scribner Diesel Generation Facility,City of Scribner,Scribner,NE,Dodge,68057,41.668419,-96.669132,Electric Utility,eia_860_2024
64421,Sunvestment Energy Group NY 63 LLC,Green Street Power Partners,East Syracuse,NY,Onondaga,13057,43.0447,-76.0419,IPP Non-CHP,eia_860_2024
64422,GSPP Onyx New Brunswick LLC,Green Street Power Partners,New Brunswick,NJ,Middlesex,8901,40.48071,-74.48185,IPP Non-CHP,eia_860_2024
64423,TX7 Flat Top,Key Capture Energy,Pecos,TX,Reeves,79772,31.19791,-103.36067,IPP Non-CHP,eia_860_2024
64424,TX8 Worsham,Key Capture Energy,Pecos,TX,Pecos,79772,31.35658,-103.33645,IPP Non-CHP,eia_860_2024
64425,TX2 Port Lavaca,Key Capture Energy,Port Lavaca,TX,Calhoun,77979,28.58673,-96.68376,IPP Non-CHP,eia_860_2024
64426,Wilmot Energy Center LLC,Wilmot Energy Center LLC,Tucson,AZ,Pima,85756,32.043502,-110.892676,IPP Non-CHP,eia_860_2024
64427,Copperton Solar Plant No. 1,Kennecott Utah Copper,Bingham Canyon,UT,Salt Lake,84006,40.57664,-112.08461,Industrial Non-CHP,eia_860_2024
64428,JVR Energy Park LLC,JVR Energy Park LLC,Jacumba Hot Springs,CA,San Diego,91934,32.625903,-116.17489,IPP Non-CHP,eia_860_2024
64429,Amazon - Stockton - Roof (SCK1) - (CA),"Forefront Power, LLC",Stockton,CA,San Joaquin,95215,37.911715,-121.19865,IPP Non-CHP,eia_860_2024
64430,American Beech Solar LLC,MN8 Energy LLC,Scotland Neck,NC,Halifax,27874,36.144761,-77.509522,IPP Non-CHP,eia_860_2024
64431,Point Beach Solar,Point Beach Solar,Two Creeks,WI,Manitowoc,54241,44.28337,-87.555326,IPP Non-CHP,eia_860_2024
64432,Breckenridge Solar,"Breckenridge Street Solar 1, LLC",Palmer,MA,Hampden,1069,42.17406,-72.315802,IPP Non-CHP,eia_860_2024
64433,Black Rock Wind,"Black Rock Wind Force, LLC",Elk Garden,WV,Mineral,26717,39.366803,-79.108263,IPP Non-CHP,eia_860_2024
64434,Rounseville Solar,"Rounseville Solar 1, LLC",Rochester,MA,Plymouth,2770,41.738381,-70.828527,IPP Non-CHP,eia_860_2024
64435,Town of Ware - Canadian Tree(CSG),"MA CS Ware West, LLC",Ware,MA,Hampshire,1082,42.263482,-72.295532,IPP Non-CHP,eia_860_2024
64436,Wilmarth Solar,"Wilmarth Lane Solar 1, LLC",Plainville,MA,Norfolk,2762,42.025049,-71.353545,IPP Non-CHP,eia_860_2024
