plant_id,plant_name,utility_name,state,county,generator_id,status,technology
57392,UASTP I,Tucson Electric Power Co,AZ,Pima,UATP1,OP,Solar Photovoltaic
57394,Genesis Solar Energy Project,Genesis Solar LLC,CA,Riverside,GEN01,OP,Solar Thermal without Energy Storage
57394,Genesis Solar Energy Project,Genesis Solar LLC,CA,Riverside,GEN02,OP,Solar Thermal without Energy Storage
57397,Dow Jones South Brunswick Solar,Dow Jones & Co,NJ,Middlesex,PV01,OP,Solar Photovoltaic
57397,Dow Jones South Brunswick Solar,Dow Jones & Co,NJ,Middlesex,PV02,OP,Solar Photovoltaic
57402,Taylorsville Solar LLC,Duke Energy Renewables Services,NC,Alexander,TAY1,OP,Solar Photovoltaic
57412,Knouse Solar Project 1,Knouse Food Cooperative Inc,PA,Cumberland,1,OP,Solar Photovoltaic
57422,Yolo County Solar Project,Yolo County of,CA,Yolo,1,OP,Solar Photovoltaic
57435,Solar Star North Carolina II LLC,Duke Energy Renewables Services,NC,Hertford,1,OP,Solar Photovoltaic
57435,Solar Star North Carolina II LLC,Duke Energy Renewables Services,NC,Hertford,2,OP,Solar Photovoltaic
57435,Solar Star North Carolina II LLC,Duke Energy Renewables Services,NC,Hertford,3,OP,Solar Photovoltaic
57435,Solar Star North Carolina II LLC,Duke Energy Renewables Services,NC,Hertford,4,OP,Solar Photovoltaic
57435,Solar Star North Carolina II LLC,Duke Energy Renewables Services,NC,Hertford,5,OP,Solar Photovoltaic
57438,"Solar Park Gainesville, LLC","Altus Power America Management, LLC",FL,Alachua,1,OP,Solar Photovoltaic
57439,California Valley Solar Ranch,Clearway Energy Operating LLC,CA,San Luis Obispo,HPR2,OP,Solar Photovoltaic
57439,California Valley Solar Ranch,Clearway Energy Operating LLC,CA,San Luis Obispo,HPR2A,OP,Solar Photovoltaic
57439,California Valley Solar Ranch,Clearway Energy Operating LLC,CA,San Luis Obispo,HPR2B,OP,Solar Photovoltaic
57439,California Valley Solar Ranch,Clearway Energy Operating LLC,CA,San Luis Obispo,HPR2C,OP,Solar Photovoltaic
57439,California Valley Solar Ranch,Clearway Energy Operating LLC,CA,San Luis Obispo,HPR2D,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42A,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42B,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42C,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42D,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42E,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42F,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42G,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42H,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42I,OP,Solar Photovoltaic
57441,Solar Photovoltaic Project #42,Southern California Edison Co,CA,Tulare,S42J,OP,Solar Photovoltaic
57442,Silver State Solar Power North,"Silver State Solar Power North, LLC",NV,Clark,56188,OP,Solar Photovoltaic
57448,Pilesgrove,Consolidated Edison Development Inc.,NJ,Salem,PILE,OP,Solar Photovoltaic
57455,Solar Borrego I,NRG Solar Borrego I,CA,San Diego,SB1,OP,Solar Photovoltaic
57458,145 Talmadge Solar,Avidan Energy Solutions,NJ,Middlesex,1,OP,Solar Photovoltaic
57461,"Martins Creek Solar NC, LLC",Duke Energy Renewables Services,NC,Cherokee,1,OP,Solar Photovoltaic
57462,Napoleon Solar I,Enfinity BNB Napoleon Solar LLC,OH,Henry,1,OP,Solar Photovoltaic
57465,Romark PA Solar,Romark Logistics of PA Inc.,PA,Luzerne,1,OP,Solar Photovoltaic
57471,Murray Hill Solar,Consolidated Edison Development Inc.,NJ,Union,MHNJ,OP,Solar Photovoltaic
57473,Dartmouth Solar,Consolidated Edison Development Inc.,MA,Bristol,DSMA,OP,Solar Photovoltaic
